Alabama,AL,rep
Alaska,AK,ind
Arizona,AZ,rep
Arkansas,AR,rep
California,CA,dem
Colorado,CO,dem
Connecticut,CT,dem
Deleware,DE,dem
Florida,FL,rep
Georgia,GA,rep
Hawaii,HI,dem
Iowa,IA,rep
Idaho,ID,rep
Illinois,IL,rep
Indiana,IN,rep
Kansas,KS,rep
Kentucky,KY,dem
Louisiana,LA,rep
Massachusetts,MA,rep
Maryland,MD,rep
Maine,ME,rep
Michigan,MI,rep
Missouri,MO,dem
Minnesota,MN,dem
Mississippi,MS,rep
Montana,MT,dem
North Carolina,NC,rep
North Dakota,ND,rep
Nebraska,NE,rep
New Hampshire,NH,dem
New Jersey,NJ,rep
New Mexico,NM,rep
Nevada,NV,rep
New York,NY,dem
Ohio,OH,rep
Oklahoma,OK,rep
Oregon,OR,rep
Pennsylvania,PA,dem
Rhode Island,RI,dem
South Carolina,SC,rep
South Dakota,SD,rep
Tennessee,TN,rep
Texas,TX,rep
Utah,UT,rep
Virginia,VA,dem
Vermont,VT,dem
Washington,WA,dem
Wisconsin,WI,rep
West Virginia,WV,dem
Wyoming,WY,rep
